,StTime,line,token,type
0,976.8403,you ain't- you ain't messing with] that. That's not,ain't,ain't
1,976.8403,you ain't- you ain't messing with] that. That's not,ain't,ain't
2,237.4622,and I'm not saying that it's our fault,'m not,AA1
3,293.9242,we feel like we're not supposed to be a part of it.,'re not,AA1
4,395.4766,"the white people started coming, so I'm not gonna come anymore.",'m not,AA1
5,534.0548,"and it's not even like style, it's just a vibe. Like-",'s not,AA1
6,601.7043,"that New York started calling people bamas. I was like, that's not true.",'s not,AA1
7,738.3812,"it's not a one four,",'s not,AA1
8,972.4769,"Naw, like, that's not the good mumbo sauce (laughing).",'s not,AA1
9,976.8403,you ain't- you ain't messing with] that. That's not,'s not,AA1
10,93.3317,I'll never have to deal with it anymore. /But you know./, have ,AA2
11,173.8823,a large business that doesn't,doesn't,AA2
12,352.1104,But pro-black doesn't,doesn't,AA2
13,360.9454,we can't have white people, have ,AA2
14,371.9522,"they don't like,",don't,AA2
15,376.1756,"Like don't conquistador the shit,",don't,AA2
16,421.6111,"like, integration was the worst thing that could have happened to the black community,", have ,AA2
17,634.8098,"folks don't know like, that history and that culture.",don't,AA2
18,642.9454,"if you have a go go band playing in DC, the cops shut it down.", have ,AA2
19,688.1570,"So like Chuck Brown, it- that- that doesn't count!",doesn't,AA2
20,695.3414,"Um, I don't have to like go go",don't,AA2
21,695.3414,"Um, I don't have to like go go", have ,AA2
22,844.3909,I don't go to go gos often.,don't,AA2
23,903.7456,on Good Hope Road has the best mumbo sauce in the city., has ,AA2
24,937.6660,"So like, some will have like, a honey mustard base.", have ,AA2
25,967.1158,"Um, then there's like- I don't like",don't,AA2
26,315.2477,didn't even know it was a thing.,didn't,AB1
27,316.6746,"Like a lot of us didn't know it was a thing,",didn't,AB1
28,893.3066,I did the best mumbo sauce, did ,AB1
29,39.7373,there are a bunch of stories that I left out., are ,CO2
30,184.5720,to a point beyond where the folks who are residing there, are ,CO2
31,291.2011,I am sad, am ,CO2
32,367.3499,"If they are coming, and they are learning,", are ,CO2
33,367.3499,"If they are coming, and they are learning,", are ,CO2
34,372.7589,"go to their neighborhood and try to start a drum circle and be like, this is mine!", is ,CO2
35,475.9608,"um, how connected to Africa are you?", are ,CO2
36,502.0497,was part of my family is slavery., is ,CO2
37,524.4271,"go go is like a DC thing,", is ,CO2
38,629.7937,some of that is being lost., is ,CO2
39,648.3998,most go go performances are happening in PG county now., are ,CO2
40,658.4181,HIV infection rates are raising in-, are ,CO2
41,663.2431,A lot of the style and brands are moving out to PG., are ,CO2
42,668.3105,go go bands are performing out in PG. Crime rates are rising, are ,CO2
43,668.3105,go go bands are performing out in PG. Crime rates are rising, are ,CO2
44,749.9522,which is like the popular go go that they listen to now., is ,CO2
45,834.2747,"Like the outlet is there,", is ,CO2
46,920.2255,"um, what is it? Sweet and sour,", is ,CO2
