,StTime,line,token,type
0,532.6029,but you're not a parent.,'re not,AA1
1,1530.4889,"I didn't come for like, two weeks. I was like, nope I'm not going back.",'m not,AA1
2,1727.8850,as a child I did not do that because that's not the right way.,'s not,AA1
3,2239.0224,"But when you go to a neighborhood you're not from it's just like, a different atmosphere.",'re not,AA1
4,2264.5272,something's not right.,'s not,AA1
5,2626.6348,"people like, you're in your prime time, you can do it now, you're not married, you don't have kids. I'm like, okay,",'re not,AA1
6,2760.9119,"It's th- I'm seri- It's not like back roads, like people think,",'s not,AA1
7,2764.0884,oh it's the country. No it's not.,'s not,AA1
8,2766.8852,They have those little neighborhoods just like we have in DC and it's not looking right.,'s not,AA1
9,2808.8819,I'm not coming to visit you until you move. And I still haven't been cause she says she's not moving until the end of the summer.,'m not,AA1
10,2808.8819,I'm not coming to visit you until you move. And I still haven't been cause she says she's not moving until the end of the summer.,'s not,AA1
11,2861.6774,"cute, they wanna get dressed up. I don't wanna be the only one that's not dressed up.",'s not,AA1
12,3287.1736,it doesn't- it's not just like-,'s not,AA1
13,3509.1250,"I got sick one time because that's a long walk. They were like, it's right there, it's not that long of a walk. No, it's a long walk.",'s not,AA1
14,120.5890,It did not have a shower., have ,AA2
15,215.6139,"I don't ride bikes, so.",don't,AA2
16,292.1992,"when I was at elementary school, you didn't really have to say cause obviously you're a younger kid.", have ,AA2
17,296.2707,"But in high school of course you would have to say,", have ,AA2
18,326.3874,you don't belong here.,don't,AA2
19,353.7340,"every Thanksgiving we would have to do the same thing. We cook at home, then we go to a family member's house and eat there, but still have food at home.", do ,AA2
20,353.7340,"every Thanksgiving we would have to do the same thing. We cook at home, then we go to a family member's house and eat there, but still have food at home.", have ,AA2
21,353.7340,"every Thanksgiving we would have to do the same thing. We cook at home, then we go to a family member's house and eat there, but still have food at home.", have ,AA2
22,435.9790,"Well, my grandmother's side of the family, my grandmother's sister has seven children,", has ,AA2
23,443.6873,all of them live in the DC and Maryland area. So every year we would have dinner at a different family member's house, have ,AA2
24,458.1939,"they don't know when to go home, you kind of just have to p- stay up really late, wait for the last person to go home,",don't,AA2
25,458.1939,"they don't know when to go home, you kind of just have to p- stay up really late, wait for the last person to go home,", have ,AA2
26,463.6768,you have to clean up all the mess. It's just too much., have ,AA2
27,501.9632,"it's too much responsibility, you have to learn how to change diapers, you have to learn how to feed the baby,", have ,AA2
28,501.9632,"it's too much responsibility, you have to learn how to change diapers, you have to learn how to feed the baby,", have ,AA2
29,515.9943,"But then after a while I kind of got used to it, like okay I have a little brother.", have ,AA2
30,525.9523,Now he's a teenager and I don't like it.,don't,AA2
31,562.7798,"he will aks for new things when he does not deserve new things. Like, can I get those new shoes?", does ,AA2
32,562.7798,"he will aks for new things when he does not deserve new things. Like, can I get those new shoes?",does not,AA2
33,582.0018,"he wants to be up under me, I'm too old for this. I don't have time.",don't,AA2
34,582.0018,"he wants to be up under me, I'm too old for this. I don't have time.", have ,AA2
35,637.5166,I don't like it.,don't,AA2
36,643.1596,I don't like it.,don't,AA2
37,659.3637,So I don't know how she plans to do that., do ,AA2
38,659.3637,So I don't know how she plans to do that.,don't,AA2
39,672.0085,I don't understand.,don't,AA2
40,681.2149,"I'm more strict than my mom, I don't even know how that happened.",don't,AA2
41,688.9433,"I have to be more strict. She'll aks to do stuff, I'm like no,", do ,AA2
42,688.9433,"I have to be more strict. She'll aks to do stuff, I'm like no,", have ,AA2
43,691.9437,can't do that., do ,AA2
44,699.0681,Can't do that., do ,AA2
45,707.5071,can't do it., do ,AA2
