Line	Spkr	StTime	Content	EnTime
1	DCB_int_01	0.5924	And /RD-NAME-2/ how long have you been,	3.4952
2	DCB_int_01	3.4952	(pause 0.26)	3.7554
3	DCB_int_01	3.7554	um, living in DC?	4.9800
4	DCB_se1_ag2_f_03	6.3179	Since I was born,	7.7835
5	DCB_se1_ag2_f_03	7.7835	(pause 0.10)	7.8803
6	DCB_se1_ag2_f_03	7.8803	which is about	8.5376
7	DCB_se1_ag2_f_03	8.5376	(pause 0.33)	8.8712
8	DCB_se1_ag2_f_03	8.8712	twenty-five, going on twenty-six years.	11.1068
9	DCB_int_01	11.3737	And so	12.7559
10	DCB_int_01	12.7559	(pause 0.12)	12.8793
11	DCB_int_01	12.8793	when's your birthday actually?	13.9166
12	DCB_se1_ag2_f_03	14.1839	May fifteenth,	15.1315
13	DCB_se1_ag2_f_03	15.1315	(pause 0.27)	15.4018
14	DCB_se1_ag2_f_03	15.4018	nineteen ninety.	16.1111
15	DCB_int_01	16.7397	Um, and what about your parents, did they grow up in DC?	19.1329
16	DCB_se1_ag2_f_03	19.5099	Yes.	20.0819
17	DCB_int_01	20.8045	Where?	21.0472
18	DCB_se1_ag2_f_03	22.2359	In- my mother grew up in Northeast and my father grew up in Northwest.	26.2313
19	DCB_int_01	26.6711	And what do your parents do?	28.2559
20	DCB_se1_ag2_f_03	29.2002	My mother is currently a barber, my father works for	32.7712
21	DCB_se1_ag2_f_03	32.7712	(pause 0.10)	32.8712
22	DCB_se1_ag2_f_03	32.8712	DC government.	33.6220
23	DCB_int_01	34.3193	Kay.	34.4461
24	DCB_int_01	34.4461	(pause 0.94)	35.3837
25	DCB_int_01	35.3837	Um, and what do you do?	36.8526
26	DCB_se1_ag2_f_03	37.5333	I work at /RD-WORK-5/	39.3027
27	DCB_se1_ag2_f_03	39.3027	(pause 0.14)	39.4460
28	DCB_se1_ag2_f_03	39.4460	/RD-WORK-6/.	40.5229
29	DCB_int_01	41.4638	Mkay.	41.8718
30	DCB_int_01	41.8718	(pause 0.82)	42.6958
31	DCB_int_01	42.6958	Um,	43.4699
32	DCB_int_01	43.4699	(pause 0.14)	43.6134
33	DCB_int_01	43.6134	and	44.5776
34	DCB_int_01	44.5776	(pause 0.96)	45.5419
35	DCB_int_01	45.5419	have you lived any other place outside of DC?	47.5639
36	DCB_se1_ag2_f_03	48.2178	No.	48.5498
37	DCB_int_01	49.0628	No? You've always lived here?	50.1272
38	DCB_se1_ag2_f_03	50.2773	Yes.	50.7845
39	DCB_int_01	51.2316	What schools did you go to?	52.1889
40	DCB_se1_ag2_f_03	53.1001	Elementary I went to /RD-SCHOOL-6/ in Southeast,	56.4208
41	DCB_se1_ag2_f_03	56.4208	(pause 0.18)	56.5977
42	DCB_se1_ag2_f_03	56.5977	for middle school I went to /RD-SCHOOL-5/ in Northeast,	60.0777
43	DCB_se1_ag2_f_03	60.0777	(pause 0.42)	60.4956
44	DCB_se1_ag2_f_03	60.4956	and for high school I went to /RD-SCHOOL-6/	63.0047
45	DCB_se1_ag2_f_03	63.0047	(pause 0.15)	63.1515
46	DCB_se1_ag2_f_03	63.1515	in Northwest.	63.9390
47	DCB_int_01	64.3727	Hm.	64.6863
48	DCB_int_01	64.6863	(pause 0.64)	65.3303
49	DCB_int_01	65.3303	Um,	65.9442
50	DCB_int_01	65.9442	(pause 0.62)	66.5623
51	DCB_int_01	66.5623	and so how did you end up back here? Like how did you end up back at the /RD-WORK-4/?	69.5877
52	DCB_se1_ag2_f_03	70.7197	I was a club kid when I was a teen and then I decided that I wanted to continue to work with youth after I graduated, so	77.3703
53	DCB_se1_ag2_f_03	77.3703	(pause 0.58)	77.9484
54	DCB_se1_ag2_f_03	77.9484	I applied and got the job.	79.6734
55	DCB_int_01	80.0071	And how long have you been here?	80.9146
56	DCB_se1_ag2_f_03	81.3551	Two years.	82.2025
57	DCB_int_01	82.2092	Two years.	82.8231
58	DCB_int_01	82.8231	(pause 0.46)	83.2869
59	DCB_int_01	83.2869	Um,	83.8429
60	DCB_int_01	83.8429	(pause 0.22)	84.0610
61	DCB_int_01	84.0610	so,	84.5717
62	DCB_int_01	84.5717	(pause 0.38)	84.9561
63	DCB_int_01	84.9561	let's kind of go back to the beginning.	86.2139
64	DCB_int_01	86.2139	(pause 0.60)	86.8145
65	DCB_int_01	86.8145	Um, currently where do you live?	88.6230
66	DCB_se1_ag2_f_03	89.4838	In Southeast, [Washington], DC.	91.9710
67	DCB_int_01	91.0194	[You live in-]	91.3631
68	DCB_int_01	92.0738	Okay but that's not your childhood neighborhood.	94.2205
69	DCB_se1_ag2_f_03	94.2493	No.	94.6863
70	DCB_int_01	94.7764	Okay, what was your childhood neighborhood?	96.3231
71	DCB_se1_ag2_f_03	96.4222	Northeast,	97.3665
72	DCB_int_01	97.3965	North-	97.6734
73	DCB_se1_ag2_f_03	97.6300	which is technically like, five minutes from where I currently live.	100.5863
74	DCB_int_01	100.8832	Oh okay, so what-	101.8308
75	DCB_int_01	101.8308	(pause 0.39)	102.2245
76	DCB_int_01	102.2245	Like was it a specific name of the neighborhood?	104.2156
77	DCB_se1_ag2_f_03	104.9613	[No.]	105.3847
78	DCB_int_01	104.9613	[Or-]	105.2947
79	DCB_int_01	105.5286	No, it was just the Northeast area.	107.1859
80	DCB_se1_ag2_f_03	107.5005	[Yes.]	108.2421
81	DCB_int_01	108.0243	[Okay.]	108.3016
82	DCB_int_01	108.6458	Can you- do you remember your house as a-	110.4508
83	DCB_int_01	110.4508	(pause 0.18)	110.6344
84	DCB_int_01	110.6344	as a young child?	111.5586
85	DCB_se1_ag2_f_03	112.0858	Yes.	112.7298
86	DCB_int_01	112.7631	Tell me a little bit about it.	113.6377
87	DCB_se1_ag2_f_03	114.3088	Uh, it was on /RD-ADDRESS-2/, kind of	116.6677
88	DCB_se1_ag2_f_03	116.6677	(pause 0.56)	117.2283
89	DCB_se1_ag2_f_03	117.2283	connected to another house.	118.5295
90	DCB_se1_ag2_f_03	118.5295	(pause 0.09)	118.6196
91	DCB_se1_ag2_f_03	118.6196	Very old.	119.6796
92	DCB_se1_ag2_f_03	119.6796	(pause 0.91)	120.5890
93	DCB_se1_ag2_f_03	120.5890	It did not have a shower.	121.8569
94	DCB_se1_ag2_f_03	121.8569	(pause 0.38)	122.2406
95	DCB_se1_ag2_f_03	122.2406	Only a tub.	123.1140
96	DCB_se1_ag2_f_03	123.1140	(pause 1.41)	124.5262
97	DCB_se1_ag2_f_03	124.5262	And	125.3203
98	DCB_se1_ag2_f_03	125.3203	(pause 0.81)	126.1278
99	DCB_se1_ag2_f_03	126.1278	it had a basement,	127.0828
100	DCB_se1_ag2_f_03	127.0828	(pause 0.29)	127.3698
101	DCB_se1_ag2_f_03	127.3698	and one floor.	128.4475
102	DCB_se1_ag2_f_03	128.4475	(pause 0.28)	128.7244
103	DCB_se1_ag2_f_03	128.7244	That was it, no upstairs. Just one floor and a basement.	131.3270
104	DCB_int_01	132.0644	How many rooms, bedrooms?	133.3698
105	DCB_se1_ag2_f_03	134.1739	Two and a half, so	135.4151
106	DCB_se1_ag2_f_03	135.4151	(pause 0.20)	135.6120
107	DCB_se1_ag2_f_03	135.6120	two rooms and a den.	136.4800
