Line	Spkr	StTime	Content	EnTime
1	DCB_int_01	0.5514	Alright. So,	1.5357
2	DCB_int_01	1.5357	(pause 0.56)	2.0981
3	DCB_int_01	2.0981	your name is /RD-NAME-4/.	4.9255
4	DCB_se1_ag2_f_01	5.9050	That's me.	6.6499
5	DCB_int_01	7.5316	Um,	8.0218
6	DCB_int_01	8.0218	(pause 0.43)	8.4512
7	DCB_int_01	8.4512	what's your birthday?	8.9757
8	DCB_se1_ag2_f_01	9.5267	June twenty six.	10.6440
9	DCB_se1_ag2_f_01	10.6440	(pause 1.43)	12.0719
10	DCB_se1_ag2_f_01	12.0719	[Nineteen] eighty seven.	12.9802
11	DCB_int_01	12.0833	[/What year?/]	12.4482
12	DCB_int_01	13.1094	Nineteen eighty seven.	14.2267
13	DCB_int_01	14.2267	(pause 1.38)	15.6090
14	DCB_int_01	15.6090	Um,	16.3615
15	DCB_int_01	16.3615	(pause 0.15)	16.5097
16	DCB_int_01	16.5097	what's your home town?	17.2128
17	DCB_se1_ag2_f_01	17.8018	Washington, DC.	18.5961
18	DCB_int_01	19.2497	What neighborhood?	19.9604
19	DCB_se1_ag2_f_01	20.4079	I'm from Uptown.	21.4301
20	DCB_int_01	21.7113	Uptown.	22.1104
21	DCB_int_01	22.1104	(pause 0.29)	22.3954
22	DCB_int_01	22.3954	What is Uptown?	23.5545
23	DCB_se1_ag2_f_01	25.4461	It's-	25.8299
24	DCB_se1_ag2_f_01	25.8299	(pause 0.62)	26.4531
25	DCB_se1_ag2_f_01	26.4531	W-	26.7686
26	DCB_se1_ag2_f_01	26.7686	(pause 0.24)	27.0080
27	DCB_se1_ag2_f_01	27.0080	[I-]	27.3158
28	DCB_int_01	27.0118	[Like-]	27.2512
29	DCB_int_01	27.4640	Descri- Cause I- I keep people- hearing people say it, but I don't like, know [/inaudible/.]	31.2367
30	DCB_se1_ag2_f_01	30.7313	[So Uptown] is-	32.2324
31	DCB_se1_ag2_f_01	32.3768	Do you know where	33.6651
32	DCB_se1_ag2_f_01	33.6651	(pause 0.40)	34.0603
33	DCB_se1_ag2_f_01	34.0603	the Convention Center is?	35.0902
34	DCB_int_01	35.4009	Mm-hm.	35.7467
35	DCB_se1_ag2_f_01	36.0812	Uptown is from the Convention Center up.	38.2701
36	DCB_se1_ag2_f_01	38.2701	(pause 1.16)	39.4292
37	DCB_se1_ag2_f_01	39.4292	Up Georgia Avenue.	40.2225
38	DCB_int_01	40.8762	Up Georgie Avenue.	41.8072
39	DCB_se1_ag2_f_01	42.0162	[And it stops-]	42.8371
40	DCB_int_01	42.0238	[Like, close to Howard?]	43.1829
41	DCB_se1_ag2_f_01	43.6010	Goes past Howard,	44.8854
42	DCB_se1_ag2_f_01	44.8854	(pause 0.62)	45.5039
43	DCB_se1_ag2_f_01	45.5039	past uh- It stops at Silv- the S- Silver Spring line.	48.4112
44	DCB_int_01	48.9508	So-	49.2472
45	DCB_int_01	49.2472	(pause 0.28)	49.5237
46	DCB_int_01	49.5237	but there are other places included in Uptown. So like, Columbia Heights is [Uptown?]	52.7273
47	DCB_se1_ag2_f_01	52.6741	[Yeah], all that's Uptown.	53.5330
48	DCB_int_01	54.1068	Oh, okay. So I'm'a put Uptown. And you've lived here all your life?	56.7699
49	DCB_se1_ag2_f_01	58.2862	Majority of my life, yeah.	59.1982
50	DCB_int_01	59.3949	Where'd else did you live?	60.2842
51	DCB_se1_ag2_f_01	60.3944	I lived in Maryland, too.	61.3255
52	DCB_int_01	61.6713	What part of Maryland?	62.3477
53	DCB_se1_ag2_f_01	62.7886	In Forestville.	63.8298
54	DCB_se1_ag2_f_01	63.8298	(pause 0.31)	64.1405
55	DCB_se1_ag2_f_01	64.1405	District Heights.	64.7714
56	DCB_int_01	64.8626	Mm. Mm-hm.	65.4972
57	DCB_int_01	65.4972	(pause 3.69)	69.1825
58	DCB_int_01	69.1825	Um,	69.8438
59	DCB_int_01	69.8438	(pause 0.56)	70.4062
60	DCB_int_01	70.4062	education.	71.0067
61	DCB_se1_ag2_f_01	72.8802	Majority in a city.	73.7695
62	DCB_int_01	74.1600	[/??/]	74.4260
63	DCB_se1_ag2_f_01	74.2664	[I did] go to	75.3266
64	DCB_se1_ag2_f_01	76.0221	a couple Maryland schools though.	77.2192
65	DCB_int_01	77.5688	But you went to the- the city, and then did you go college?	79.7530
66	DCB_se1_ag2_f_01	79.9734	Mm-hm.	80.2205
67	DCB_int_01	80.2091	Where'd you go to college?	80.9995
68	DCB_se1_ag2_f_01	81.0793	UDC.	81.4745
69	DCB_int_01	81.7672	Oh!	81.9268
70	DCB_int_01	81.9268	(pause 0.55)	82.4740
71	DCB_int_01	82.4740	You really are like a hometown [girl.]	83.9979
72	DCB_se1_ag2_f_01	83.6597	[<laugh>] I am.	84.8178
73	DCB_int_01	84.8634	And your current occupation?	86.2543
74	DCB_se1_ag2_f_01	87.1588	Volunteer coordinator for the /RD-WORK-4/, Greater Washington.	90.3463
75	DCB_int_01	94.3242	Um,	94.9931
76	DCB_int_01	94.9931	(pause 0.17)	95.1603
77	DCB_int_01	95.1603	what about your parents? Where was your mom born?	96.8020
78	DCB_se1_ag2_f_01	97.1934	My mom was born here.	98.1207
79	DCB_int_01	98.3212	And what about your dad?	99.0014
80	DCB_se1_ag2_f_01	99.3397	He was born in South Carolina.	101.2284
81	DCB_int_01	101.3766	In South Carolina.	102.2431
82	DCB_se1_ag2_f_01	102.5433	Yeah.	102.9756
83	DCB_int_01	104.1233	What does your mom do?	104.7503
84	DCB_se1_ag2_f_01	105.4002	<ts>	105.5636
85	DCB_se1_ag2_f_01	105.5636	(pause 0.12)	105.6814
86	DCB_se1_ag2_f_01	105.6814	She's deceased.	107.0457
87	DCB_int_01	107.5055	Hm.	107.7563
88	DCB_int_01	107.7563	(pause 0.72)	108.4774
89	DCB_int_01	108.4774	I'm so sorry.	109.1539
90	DCB_se1_ag2_f_01	109.9709	It's okay. Her birthday was yesterday.	111.2668
91	DCB_int_01	111.8825	Oh!	112.3423
92	DCB_int_01	112.3423	(pause 1.23)	113.5689
93	DCB_int_01	113.5689	And what about your dad?	114.4505
94	DCB_se1_ag2_f_01	114.9028	He lives in Atlanta.	115.6590
95	DCB_int_01	116.6205	And do you know what he does?	117.4755
96	DCB_se1_ag2_f_01	118.1738	H- He teaches basketball.	119.7054
97	DCB_int_01	119.9752	Mm.	120.3476
98	DCB_se1_ag2_f_01	121.3547	[At elementary] school.	122.1983
99	DCB_int_01	121.4269	[?]	121.6321
100	DCB_int_01	126.1611	Alright.	126.5867
101	DCB_int_01	126.5867	(pause 0.85)	127.4332
102	DCB_int_01	127.4332	So,	127.6993
103	DCB_int_01	127.6993	(pause 0.14)	127.8361
104	DCB_int_01	127.8361	now we got all the basic, kind of just like	129.6868
105	DCB_int_01	129.6868	(pause 0.70)	130.3898
106	DCB_int_01	130.3898	information there.	131.3817
107	DCB_int_01	131.3817	(pause 1.62)	132.9997
108	DCB_int_01	132.9997	Alright, so now we're going to get into questions about you.	135.0100
109	DCB_int_01	135.0100	(pause 0.25)	135.2571
110	DCB_int_01	135.2571	Just the little background information.	136.8380
111	DCB_se1_ag2_f_01	137.1230	Okay.	137.4004
