Line	Spkr	StTime	Content	EnTime
1	DCB_int_01	0.4168	How does it feel to be a- uh, Halloween baby?	2.4876
2	DCB_se3_ag2_f_01	3.1264	Um, it's fun.	4.2916
3	DCB_se3_ag2_f_01	4.2916	(pause 0.22)	4.5162
4	DCB_se3_ag2_f_01	4.5162	Like,	5.0216
5	DCB_se3_ag2_f_01	5.0216	(pause 0.18)	5.1971
6	DCB_se3_ag2_f_01	5.1971	it's really festive.	6.4449
7	DCB_se3_ag2_f_01	6.4449	(pause 0.24)	6.6836
8	DCB_se3_ag2_f_01	6.6836	Um, I usually dress up as a princess	8.8947
9	DCB_se3_ag2_f_01	8.8947	(pause 0.69)	9.5826
10	DCB_se3_ag2_f_01	9.5826	since it's my birthday	10.7478
11	DCB_se3_ag2_f_01	10.7478	(pause 0.48)	11.2252
12	DCB_se3_ag2_f_01	11.2252	and Halloween.	12.0464
13	DCB_se3_ag2_f_01	12.0464	(pause 0.74)	12.7889
14	DCB_se3_ag2_f_01	12.7889	Um,	13.3013
15	DCB_se3_ag2_f_01	13.3013	(pause 1.04)	14.3402
16	DCB_se3_ag2_f_01	14.3402	<ts>	14.5297
17	DCB_se3_ag2_f_01	14.5297	(pause 0.19)	14.7192
18	DCB_se3_ag2_f_01	14.7192	and I get a lot of candy and cake.	16.5583
19	DCB_se3_ag2_f_01	16.5583	(pause 1.24)	17.8008
20	DCB_se3_ag2_f_01	17.8008	Yeah.	18.1026
21	DCB_int_01	19.8348	Um, where were you born?	21.0983
22	DCB_se3_ag2_f_01	21.2176	<ts> In Washington, DC.	22.6847
23	DCB_int_01	23.7289	And what neighborhoods did you have- what neighborhoods do you claim?	26.8947
24	DCB_se3_ag2_f_01	27.1685	Um, <ts>	28.1512
25	DCB_se3_ag2_f_01	28.1512	(pause 0.56)	28.7128
26	DCB_se3_ag2_f_01	28.7128	so	29.6955
27	DCB_se3_ag2_f_01	29.6955	(pause 1.77)	31.4698
28	DCB_se3_ag2_f_01	31.4698	for like,	32.2208
29	DCB_se3_ag2_f_01	32.2208	(pause 0.19)	32.4104
30	DCB_se3_ag2_f_01	32.4104	the first	33.2036
31	DCB_se3_ag2_f_01	33.2036	(pause 1.73)	34.9374
32	DCB_se3_ag2_f_01	34.9374	eleven years of my life,	36.4676
33	DCB_se3_ag2_f_01	36.4676	(pause 0.74)	37.2100
34	DCB_se3_ag2_f_01	37.2100	um,	37.8137
35	DCB_se3_ag2_f_01	37.8137	(pause 0.36)	38.1717
36	DCB_se3_ag2_f_01	38.1717	I lived at, uh, /RD-ADDRESS-8/	41.0497
37	DCB_se3_ag2_f_01	41.0497	(pause 0.15)	41.1971
38	DCB_se3_ag2_f_01	41.1971	Northwest Washington, DC,	42.7500
39	DCB_se3_ag2_f_01	42.7500	(pause 0.28)	43.0345
40	DCB_se3_ag2_f_01	43.0345	um, which I guess is like,	44.4384
41	DCB_se3_ag2_f_01	44.4384	(pause 0.27)	44.7122
42	DCB_se3_ag2_f_01	44.7122	Brightwood area?	45.7721
43	DCB_se3_ag2_f_01	45.7721	(pause 0.47)	46.2424
44	DCB_se3_ag2_f_01	46.2424	Or like Fort Stevens?	47.6393
45	DCB_se3_ag2_f_01	47.6393	(pause 0.71)	48.3537
46	DCB_se3_ag2_f_01	48.3537	And then	49.0767
47	DCB_se3_ag2_f_01	49.0767	(pause 0.42)	49.4978
48	DCB_se3_ag2_f_01	49.4978	<ts> we moved to-	51.3018
49	DCB_se3_ag2_f_01	51.3018	(pause 1.13)	52.4320
50	DCB_se3_ag2_f_01	52.4320	I think the technical term for my neighborhood I live in now is like,	55.6593
51	DCB_se3_ag2_f_01	55.6593	(pause 0.61)	56.2700
52	DCB_se3_ag2_f_01	56.2700	East Colonial Village but I've never heard anyone refer to it that way.	60.3342
53	DCB_se3_ag2_f_01	60.3342	(pause 0.17)	60.5081
54	DCB_se3_ag2_f_01	60.5081	But it's like,	61.4347
55	DCB_se3_ag2_f_01	61.4347	(pause 0.44)	61.8699
56	DCB_se3_ag2_f_01	61.8699	on the other side of Sixteenth Street opposite of Shepherd Park	64.7759
57	DCB_se3_ag2_f_01	64.7759	(pause 0.62)	65.3936
58	DCB_se3_ag2_f_01	65.3936	and my address there is, uh,	67.0907
59	DCB_se3_ag2_f_01	67.0907	(pause 0.32)	67.4136
60	DCB_se3_ag2_f_01	67.4136	/RD-ADDRESS-6/ Northwest Washington, DC.	70.2043
61	DCB_int_01	72.7818	And have you lived in DC all your life?	74.4244
62	DCB_se3_ag2_f_01	74.5227	Yeah.	74.9228
63	DCB_int_01	78.6064	So no other places and you go to college in DC.	81.0070
64	DCB_int_01	81.0070	(pause 0.14)	81.1474
65	DCB_int_01	81.1474	Where'd you go to high- or where'd you go to school?	82.6215
66	DCB_se3_ag2_f_01	82.9514	<ts> Well, um, um, my elementary school-	85.3294
67	DCB_se3_ag2_f_01	85.3294	(pause 0.53)	85.8628
68	DCB_se3_ag2_f_01	85.8628	I went to /RD-SCHOOL-1/ Elementary School,	87.4563
69	DCB_se3_ag2_f_01	87.4563	(pause 0.40)	87.8564
70	DCB_se3_ag2_f_01	87.8564	and then for middle school I went to /RD-SCHOOL-7/.	90.9784
71	DCB_se3_ag2_f_01	90.9784	(pause 0.70)	91.6803
72	DCB_se3_ag2_f_01	91.6803	Then for high school I went to the /RD-SCHOOL-3/ School.	94.1863
73	DCB_se3_ag2_f_01	94.1863	(pause 1.20)	95.3866
74	DCB_se3_ag2_f_01	95.3866	And now I'm at college at Georgetown.	97.1760
75	DCB_int_01	100.8602	And you're a student obviously.	102.6501
76	DCB_se3_ag2_f_01	102.8029	Yeah.	103.1749
77	DCB_int_01	103.1609	What year are you?	103.7856
78	DCB_se3_ag2_f_01	104.0243	I'm a junior.	104.7473
79	DCB_int_01	105.5826	What's your major?	106.2214
80	DCB_se3_ag2_f_01	106.6847	Um, I'm a Psychology major	108.2149
81	DCB_se3_ag2_f_01	108.2149	(pause 0.22)	108.4379
82	DCB_se3_ag2_f_01	108.4379	with a Cognitive Science minor.	110.0804
83	DCB_int_01	117.4492	Where were you- where was your father born?	118.7408
