,StTime,line,token,type
0,1178.6078,I ain't gon-,ain't,ain't
1,182.3514,I'm not sure where my other grandparents was [born.],'m not,AA1
2,186.6972,"[Nah], I'm not [sure.]",'m not,AA1
3,330.2915,I am not a Wizards fan.,am not,AA1
4,757.4701,"But yeah, the neighborhood just look totally different. No, it- it- it's nothing that-",'s not,AA1
5,819.8435,"Um, I'm not s- I think fourteen.",'m not,AA1
6,867.9088,So I'm not sure she was familiar with Southeast,'m not,AA1
7,925.8944,"Um, I'm not explaining but,",'m not,AA1
8,958.1886,I'm not gonna necessarily I l- say I loved it or hated it. I- I don't have any,'m not,AA1
9,1080.9012,"And my mother said, no, you're not gonna be with your friends no more.",'re not,AA1
10,1420.8443,"and how nice it look, and the white people walking around like it's nothing.",'s not,AA1
11,1433.1334,DC was is not like how it was.,is not,AA1
12,1538.4953,I'm- I'm not,'m not,AA1
13,1541.3152,I'm not a person who wants to be hood or who wants to be,'m not,AA1
14,1628.7098,"I'm not sure to be truthfully honest with you. I don't know where that connection came from, but I know that me and my friends went on a visit there.",'m not,AA1
15,1677.7065,"it was- I'm not gonna say segregated, but you had your black people who hung together,",'m not,AA1
16,2043.9817,"I don't- it's- it's not that we can't go to this, but",'s not,AA1
17,2093.8251,"Big Abraham Lincoln fan. I s- I studied Abraham Lincoln, so it's- it's nothing you can aks me that I wouldn't be an answer.",'s not,AA1
18,2219.2744,So that's why I'm not in those fields.,'m not,AA1
19,2432.3181,[<laugh> You think] so? That's not that far.,'s not,AA1
20,2478.0674,"[No], I mean- Yeah- No, no, no, not the old town side, but you know that's like five minutes right [there. /Yeah/. Nah, I'm not over-]",'m not,AA1
21,2582.0097,"So that's how my mentality is not,",is not,AA1
22,2614.9968,"Because you- If you don't have goals in minds, you're not gonna strive to do anything.",'re not,AA1
23,2682.1770,"Nah, I- if you don't ask specifically, nah, I'm not gonna g- I'm not gonna go into that, [but.]",'m not,AA1
24,2682.1770,"Nah, I- if you don't ask specifically, nah, I'm not gonna g- I'm not gonna go into that, [but.]",'m not,AA1
25,2974.4003,even though he's not going about it the right way.,'s not,AA1
26,3122.0222,"I'm not a sauce person anyway, but no, I don't like mumbo sauce.",'m not,AA1
27,3243.0247,I don't- I'm not a go go fan.,'m not,AA1
28,3255.7288,I- I'm not a party person. I would be in the party,'m not,AA1
29,3276.0416,a go go song that stands out to me- I'm not sure who's- who,'m not,AA1
30,3377.9064,"If somebody from there across the street, say, I'm from DC, we say, No, you're not. You're from Maryland.",'re not,AA1
31,3384.6291,"they will say, No, that's- that's still DC. We say, No it's not. Because if you-",'s not,AA1
32,3413.6126,"growing up, grow- g- I grew up so I notice that those are- those are not really suburban areas,",are not,AA1
33,123.9274,I do a variety of things but what my, do ,AA2
34,147.1954,"So what I do personally, is I would mail out the-", do ,AA2
35,212.0576,"I do not know the name of the company, but he delivers uh,", do ,AA2
36,212.0576,"I do not know the name of the company, but he delivers uh,",do not,AA2
37,258.6879,"[Okay, now], Fifteen Place- You- you said what do I claim, so", do ,AA2
38,282.7753,So what do you wanna know about my neighborhood?, do ,AA2
39,292.1746,"I don't wanna talk about the bad stuff unless you aks that specifically, but um, just growing up,",don't,AA2
40,316.1606,"growing up, uh, we didn't have a basketball court til I turned eight.", have ,AA2
41,369.4985,I have four sisters., have ,AA2
42,499.2136,what's that- Rand- Randolph Street. My grandmother still has a house off Randolph Street., has ,AA2
43,507.7876,So I don't recall any of that.,don't,AA2
44,530.4819,"negative. We would have uh,", have ,AA2
45,645.5497,I don't remember the name of the neighborhood.,don't,AA2
46,653.0139,[Because I don't- I don't-],don't,AA2
47,653.0139,[Because I don't- I don't-],don't,AA2
48,654.4769,[I-] I personally don't like to talk about that because I don't- I-,don't,AA2
49,654.4769,[I-] I personally don't like to talk about that because I don't- I-,don't,AA2
50,657.5358,I don't think that's,don't,AA2
51,665.0139,But I don't- I don't like to glorify it,don't,AA2
52,665.0139,But I don't- I don't like to glorify it,don't,AA2
53,666.6039,cause I don't think that's important.,don't,AA2
54,686.1835,"Uh, I don't have one specific memory",don't,AA2
55,686.1835,"Uh, I don't have one specific memory", have ,AA2
56,808.3658,"uh- I don't wanna say, she was a",don't,AA2
57,841.4887,[I] do not know this story., do ,AA2
58,841.4887,[I] do not know this story.,do not,AA2
59,902.5612,My father doesn't watch sports at all.,doesn't,AA2
60,913.3302,"[We don't] necessarily have family traditions, we just- we-",don't,AA2
61,913.3302,"[We don't] necessarily have family traditions, we just- we-", have ,AA2
62,927.8342,"when we- when we do or when we are able to get together,", do ,AA2
63,958.1886,I'm not gonna necessarily I l- say I loved it or hated it. I- I don't have any,don't,AA2
64,958.1886,I'm not gonna necessarily I l- say I loved it or hated it. I- I don't have any, have ,AA2
65,1093.9690,"So I begged my mom. I said, mom, please don't- Please let me go back to school cause I wanna play on the basketball team. She would not let me go.",don't,AA2
66,1121.4196,"I don't think so, but in my- in- [in my head- in mine head], that's how I feel.",don't,AA2
67,1129.5867,Please don't.,don't,AA2
68,1140.9852,Have- I don't think you ever seen /RD-SCHOOL-3/.,don't,AA2
69,1179.2280,"To be honest with you, I don't like to think about high school because I was so miserable throughout the whole four years.",don't,AA2
70,1184.9430,"[Of course] I developed new friendships. I still have friends from there to this day. Uh, I have two very good friends that I still talk to.", have ,AA2
71,1184.9430,"[Of course] I developed new friendships. I still have friends from there to this day. Uh, I have two very good friends that I still talk to.", have ,AA2
72,1191.4221,And the rest of the people I don't- I don't really wanna be associated with none of the people that went to that school.,don't,AA2
73,1191.4221,And the rest of the people I don't- I don't really wanna be associated with none of the people that went to that school.,don't,AA2
74,1202.4114,any white people. I haven't-,haven't,AA2
