Line	Spkr	StTime	Content	EnTime
1	DCB_int_01	0.4473	And your birthday?	1.3892
2	DCB_se2_ag2_f_02	1.6270	January twenty third	2.7228
3	DCB_se2_ag2_f_02	2.7228	(pause 0.23)	2.9513
4	DCB_se2_ag2_f_02	2.9513	nineteen ninety two.	3.6647
5	DCB_int_01	6.0556	And where were you born?	7.3472
6	DCB_se2_ag2_f_02	7.9394	Southeast Washington DC.	9.1937
7	DCB_int_01	11.6546	And	12.3773
8	DCB_int_01	12.3773	(pause 0.43)	12.8063
9	DCB_int_01	12.8063	what do you consider your neighborhood- your childhood neighborhood or neighborhoods?	16.1823
10	DCB_se2_ag2_f_02	16.3828	Woodland.	16.8957
11	DCB_int_01	17.1382	Woodland?	17.5065
12	DCB_se2_ag2_f_02	17.6884	Mm-hm.	17.9215
13	DCB_int_01	19.1933	And how many years did you live in DC?	21.3709
14	DCB_se2_ag2_f_02	21.8885	<ts>	22.0470
15	DCB_se2_ag2_f_02	22.0470	(pause 0.21)	22.2522
16	DCB_se2_ag2_f_02	22.2522	Um, from nineteen ninety two until	24.9975
17	DCB_se2_ag2_f_02	24.9975	(pause 0.67)	25.6643
18	DCB_se2_ag2_f_02	25.6643	um,	26.1119
19	DCB_se2_ag2_f_02	26.1119	(pause 0.14)	26.2565
20	DCB_se2_ag2_f_02	26.2565	late	26.5689
21	DCB_se2_ag2_f_02	26.5689	(pause 0.17)	26.7368
22	DCB_se2_ag2_f_02	26.7368	nineteen nineties.	27.8512
23	DCB_se2_ag2_f_02	27.8512	(pause 0.15)	28.0051
24	DCB_se2_ag2_f_02	28.0051	Um,	28.3455
25	DCB_se2_ag2_f_02	28.3455	(pause 0.19)	28.5366
26	DCB_se2_ag2_f_02	28.5366	I wanna say we moved about two thousand.	30.0101
27	DCB_int_01	30.3214	Around two thousand.	31.0255
28	DCB_se2_ag2_f_02	31.2307	Mm-hm.	31.4405
29	DCB_int_01	31.5804	Perfect.	31.9581
30	DCB_int_01	31.9581	(pause 0.63)	32.5922
31	DCB_int_01	32.5922	And where other places- or what other places have you lived?	35.1242
32	DCB_se2_ag2_f_02	35.9110	Um- I-	36.3727
33	DCB_se2_ag2_f_02	36.3727	(pause 0.28)	36.6478
34	DCB_se2_ag2_f_02	36.6478	Woodland,	36.9602
35	DCB_se2_ag2_f_02	36.9602	(pause 0.10)	37.0581
36	DCB_se2_ag2_f_02	37.0581	my whole life.	37.5617
37	DCB_se2_ag2_f_02	37.5617	(pause 0.27)	37.8275
38	DCB_se2_ag2_f_02	37.8275	Um, [/or-/]	38.4523
39	DCB_int_01	37.9627	[/Woodland/, and] then-	38.7554
40	DCB_se2_ag2_f_02	39.1564	From-	39.4082
41	DCB_se2_ag2_f_02	39.4082	(pause 0.52)	39.9258
42	DCB_se2_ag2_f_02	39.9258	/that area-/ I-	40.6392
43	DCB_se2_ag2_f_02	40.6392	(pause 0.37)	41.0123
44	DCB_se2_ag2_f_02	41.0123	Af- after that? [When I moved to Virginia?]	42.5639
