,StTime,line,token,type
0,51.8465,"starting out in DC I went to a Catholic school. I'm not sure the name of it. I cannot remember. Um,",'m not,AA1
1,306.7430,I'm black. They're not gonna hurt me.,'re not,AA1
2,690.9248,But I'm not,'m not,AA1
3,780.9248,"educational wise, but it's not beautiful.",'s not,AA1
4,916.4955,"point in time. Cause I'm like, if they were to pull over, there's nothing we can do right now to defend ourselves.",'s not,AA1
5,1175.7255,I guess my family just took upon that we're not Caucasian. We're just gonna identify that we're black.,'re not,AA1
6,1345.8658,"Um, so my hair is- It's manageable, but it's not her hair.",'s not,AA1
7,1454.3383,"Um, and she had these little like, snow cone things. I don't even know what it was. Um, but it's not like the snow cones up here. Like,",'s not,AA1
8,2016.8975,She's not from Woodland.,'s not,AA1
9,2053.4279,because that's not where she should have been.,'s not,AA1
10,2816.0300,"And I- I always tell /RD-NAME-1/, you know if you're not from there,",'re not,AA1
11,2819.3034,"don't go where you're not supposed to be going. Know where you're going, and go there and come back.",'re not,AA1
12,2823.2097,"Cause it's not safe, depending on where you go.",'s not,AA1
13,2977.6811,"Um, and I love black people, and people say I'm racist, but I'm not. But I j- I love my own race. I love what we've come to be",'m not,AA1
14,197.7385,"And I don't know if I perceived it as safe because I was so young, [um], but when I took /RD-NAME-1/ back",don't,AA2
15,222.3314,"I do remember though,", do ,AA2
16,268.7379,don't remember what it was. I couldn't tell you the name or anything.,don't,AA2
17,303.1491,"And I don't know if it's cause I grew up there,",don't,AA2
18,312.5798,I'm sorry. I don't know if I'm answering your [question fully.],don't,AA2
19,320.4076,"Um, I don't feel like it hindered me.",don't,AA2
20,358.3183,because they didn't have a boy's Catholic school at the time., have ,AA2
21,362.2864,I guess those things have stuck with me., have ,AA2
22,372.6544,"and I've learned to not do that to other children, especially to my little cousins that are falling behind. You know, you never", do ,AA2
23,403.8621,"math was my favorite subject. Um, for some reason me and my siblings, math has never been a problem. We've all", has ,AA2
24,425.4887,"a woman has always amazed me, that", has ,AA2
