,StTime,line,token,type
0,214.8347,"it ain't coming my way, we could still play basketball it was just [like- but] if you- you see what's going on, you know what I'm saying.",ain't,ain't
1,256.8502,"established what's going on, and you ain't about to be out there doing all this and that you know what I'm saying so like,",ain't,ain't
2,264.9093,"Me and my older sister we was out there, like she wasn't really- she ain't really",ain't,ain't
3,321.9365,"you gotta come in the house at seven o'clock, like the s- the lights ain't even came on like I mean like it ain't [even] like- it's still light outside you talking about come in the house, it was- that was a whole n-",ain't,ain't
4,321.9365,"you gotta come in the house at seven o'clock, like the s- the lights ain't even came on like I mean like it ain't [even] like- it's still light outside you talking about come in the house, it was- that was a whole n-",ain't,ain't
5,352.8906,"to go do the work and all that like nah, I ain't like school.",ain't,ain't
6,373.1263,ch- I never- me and school ain't never get along.,ain't,ain't
7,485.4436,I ain't went one day I ain't seen her or talked to her since then.,ain't,ain't
8,485.4436,I ain't went one day I ain't seen her or talked to her since then.,ain't,ain't
9,600.7482,"[Yeah] we went off the late night though, we ain't even get to eat.",ain't,ain't
10,604.1463,Like [that was crazy we ain't even get to eat nothing or none of that shit] /?/ for real.,ain't,ain't
11,825.5484,[I ain't /inaudible/],ain't,ain't
12,917.6840,"traditions and stuff, nah ain't no traditions. Like, the best tradition that we'd get, we get some carry out and eat at the same table.",ain't,ain't
13,983.6807,"hot sauce and mumbo sauce on everything, man that shit bomb as a motherfucker. [I ain't /??/]",ain't,ain't
14,1219.9060,We had a best tea- we had a best- same thing with the Nets though. And I ain't a Nets fan. Same thing with the Nets.,ain't,ain't
15,1326.8607,"[/Yeah, motherfuckers/] ain't even make the playoffs [/unintelligible/]",ain't,ain't
16,1352.6718,"I used to be a LeBron fan, I ain't [gonna lie. I was.]",ain't,ain't
17,1448.3125,"I ain't got nothing wrong with that, and I'm- I don't got nothing wrong with that cause like, it's slim, you getting a million dollars entertain these people.",ain't,ain't
18,1708.9059,"[You gotta think about it], he ain't played ever s-",ain't,ain't
19,1712.4545,We ain't seen LeBron play a game since Steph Curry got his MVP award.,ain't,ain't
20,1853.1881,"that last one in Toronto it threw us off when we ain't had Whiteside, we had to adjust to it.",ain't,ain't
21,1861.6504,[Nah I ain't worried about game seven.],ain't,ain't
22,1886.8559,he ain't gonna lose to them.,ain't,ain't
23,1911.9417,But we not gonna get swept. Dwayne Wade ain't going like that.,ain't,ain't
