,StTime,line,token,type
0,1185.0512,Here we go. She ain't- she ain't /RD-NAME-1/'s yet?,ain't,ain't
1,1185.0512,Here we go. She ain't- she ain't /RD-NAME-1/'s yet?,ain't,ain't
2,1476.9883,"cheating ain't my thing, but I felt like that was- that was just-",ain't,ain't
3,2097.6005,Cause she ain't really been no where.,ain't,ain't
4,3189.2042,"I like Sticky Rice, that ain't- that ain't my favorite restaurant [but I- I like Sticky Rice.]",ain't,ain't
5,3189.2042,"I like Sticky Rice, that ain't- that ain't my favorite restaurant [but I- I like Sticky Rice.]",ain't,ain't
6,124.0927,[No] I'm not.,'m not,AA1
7,168.9220,"Then my mom- I'm not sure why she moved I don't know if she got put out or she just wanted to move,",'m not,AA1
8,368.8511,"Things that everybody else can be crying about, I'm like, girl, like, it's not that serious, like,",'s not,AA1
9,506.7609,"I'm not gonna treat you like you're in the hood, you don't have to talk like this, you know so, it's just like, although we in the hood I try my best to like,",'m not,AA1
10,721.5573,"But it was like, I would sleep on the couch, my baby sleep on the couch, and was like this not gonna work, so I went back with /RD-NAME-2/.",is not,AA1
11,955.4132,brought us up in church /and though-/ and although we not li- her children aren't the most like,aren't,AA1
12,1059.3954,"business administration with human resource management, this is not what I wanna do with my life, though.",is not,AA1
13,1108.6359,"it's not something that I really wanted to do, so it was just like, until I found out what I really wanted to do then /now I'm not going to/ school, so.",'m not,AA1
14,1108.6359,"it's not something that I really wanted to do, so it was just like, until I found out what I really wanted to do then /now I'm not going to/ school, so.",'s not,AA1
15,1133.3643,"like I'm not going to school this summer and I feel like a loser like, why am I n- <laugh>",'m not,AA1
16,1140.4968,"And then I was talking to my sister, my sister said, no maybe you- maybe you needed this break. But only reason I'm not going to school this summer because they had no classes that I need.",'m not,AA1
17,1215.7075,"And he was like very like verbally abusive like, he would be like, oh you're not pretty, you're this, that,",'re not,AA1
18,1517.1050,"Yeah I was like, [I'm not gon- <laugh>]",'m not,AA1
19,1602.8408,"he's willing to help me and my own boyfriend's not willing to help me, like,",'s not,AA1
20,1667.3425,"if I was around him, you're not about to talk no trash about me, you're not about to- you're gonna respect me, and it was like one of those thing, and /RD-NAME-2/ didn't make me feel protected.",'re not,AA1
21,1667.3425,"if I was around him, you're not about to talk no trash about me, you're not about to- you're gonna respect me, and it was like one of those thing, and /RD-NAME-2/ didn't make me feel protected.",'re not,AA1
22,1696.1489,"She was like, yeah he is street dude, <laugh> she was like, that's why you like- I was like, no that's not why I like him.",'s not,AA1
23,1787.2216,"December, next July, or something like just give me a round about and it's not that so,",'s not,AA1
24,1797.1445,at the end of the day you're not about to-,'re not,AA1
25,1807.6532,"and you can't go nowhere you're pregnant, got my baby, and all this. And it's just like, you're not ready to make that real commitment yet.",'re not,AA1
26,1870.5633,"Cause it's like I- I wouldn't talk bad about her and never- n- never heard her like, say she was talking bad about me, it's just like we're not talking anymore, so.",'re not,AA1
27,1997.2562,"I'm one of those people when life does hit, like I'm not gonna be sad or none of that but I'm more of a like- I just",'m not,AA1
28,2101.0073,<ts> She's better but she's not like,'s not,AA1
29,2103.6765,the mother I remember. She's- she's able to do things on her own but it's like she's not the same.,'s not,AA1
30,2143.4515,and although she would love love love love love to help me it's just like she's not in a place where-,'s not,AA1
31,2147.8535,"And it's not even just financially it's just anything like,",'s not,AA1
32,2150.6840,she's not in a place to,'s not,AA1
33,2174.2799,"Like I'm not- I mean hanging out is fun but I'm more of like I wanna see new things, I wanna do new things and stuff like that,",'m not,AA1
34,2500.8257,"she's so like cooped up in the house all the time it's like that's- you're not living that's just existing like, [you need to] get out and do some things, so.",'re not,AA1
35,2533.2079,"you're not my life like, I'm",'re not,AA1
36,2538.3559,"So- but it- that might be a reason why all my relationships is like- because I'm not the, um,",'m not,AA1
37,2616.8253,[I want-] that's [not- that's not] great. Like I want a like amazing story to [tell like-],'s not,AA1
38,2740.4326,"But it's like, I'm one of those people like, if somebody was, I know exactly what I'd do. Not saying that I'm gonna make it out of here but I know exactly what I'm gonna do. I'm not gonna be the one like,",'m not,AA1
39,2812.7722,it's not just that it's like dying young.,'s not,AA1
40,3025.7651,"No, I'm not gonna say it's changed cause it mighta been the same but because I'm older I'm allowed to see more things.",'m not,AA1
41,3144.6579,"I used to like go go, I no longer h- like go go cause it's not- it's- it's- it's attached to so much negative things.",'s not,AA1
42,3153.8293,"go go's just not my thing, I'm not going to no go gos, I'm not- I'm not, so it was just like",'m not,AA1
43,3153.8293,"go go's just not my thing, I'm not going to no go gos, I'm not- I'm not, so it was just like",'m not,AA1
44,3153.8293,"go go's just not my thing, I'm not going to no go gos, I'm not- I'm not, so it was just like",'m not,AA1
45,3495.1614,"and then I went with my cousin. But it's- it's- it's amazing like you- and it's not just Nick's Riverside Grill either, it's like",'s not,AA1
46,3542.8792,that's why I go because of- they have crab cakes that are amazing it's not like ridiculous prices.,'s not,AA1
47,3747.3658,It's going through Anacostia and Congress Heights and yeah those aren't like nice-,aren't,AA1
48,168.9220,"Then my mom- I'm not sure why she moved I don't know if she got put out or she just wanted to move,",don't,AA2
49,223.9767,I have two older sisters and one little brother., have ,AA2
50,232.1207,s- okay I have a older sister that's-, have ,AA2
51,237.4204,And I have another sister that's six years older than me. My sister that's six years older than me she was like one of those like trouble kids., have ,AA2
52,289.1181,"it was more familiar. Like, we knew these people they wouldn't hurt us and things like that. They did things to other people but they wouldn't do it to us.", do ,AA2
53,313.3222,"I don't even know how I was able to go there because we lived in Southeast but I think because my grandmother,",don't,AA2
54,319.6864,I don't remember much about /RD-SCHOOL-4/.,don't,AA2
55,342.2337,"like I was never sad about it like, I don't know [why but-]",don't,AA2
56,366.2367,I don't know why I'm like that but it's just-,don't,AA2
57,448.3253,"continue doing the /payment/ so you can go, and I was like, I don't wanna go to school, this is a neighborhood school, like,",don't,AA2
58,458.6276,"Like in the beginning I was like, I don't wanna go to this school, but my mom was like, well there's no other options, but I ended up loving it. But in the beginning I was like, I don't wanna go to this school.",don't,AA2
59,458.6276,"Like in the beginning I was like, I don't wanna go to this school, but my mom was like, well there's no other options, but I ended up loving it. But in the beginning I was like, I don't wanna go to this school.",don't,AA2
60,492.0126,"[No], you try your best to pr- cause I have two others- I m- I have two sons. [They're five and seven.]", have ,AA2
61,492.0126,"[No], you try your best to pr- cause I have two others- I m- I have two sons. [They're five and seven.]", have ,AA2
62,501.2193,"they don't feel like they're in the hood. [So that was] my mom's thing like, we're in the hood but",don't,AA2
63,505.5773,you don't have to-,don't,AA2
64,505.5773,you don't have to-, have ,AA2
